id,location,date,consent,stakeholder,sex,education,age,q1a,q1b,q1c,q1d,q1e,q1f,q1others,biodiversity_conservation,forage_quality,forage_production,water_source,carbon_storage,co2_emission,q2others
HB001,onsite,2020.9.10,Yes,D,M,Higher education,25-34 yr,1,6,2,4,5,3,none,10,10,10,9,9,9,none
HB002,onsite,2020.9.10,Yes,D,M,Higher education,45-54 yr,4,6,1,3,2,5,none,10,10,10,10,10,10,none
HB003,onsite,2020.9.10,Yes,"A,D",F,Higher education,35-44 yr,1,6,5,2,4,3,none,10,10,10,10,10,10,none
HB004,onsite,2020.9.10,Yes,A,M,Higher education,45-54 yr,1,6,5,3,4,2,none,10,5,5,10,8,5,none
HB005,onsite,2020.9.10,Yes,D,M,Higher education,45-54 yr,3,6,1,4,5,2,none,10,10,10,10,10,5,none
HB006,onsite,2020.9.10,Yes,"A,F",F,Higher education,25-34 yr,4,6,2,3,5,1,none,10,10,10,5,5,5,none
HB007,onsite,2020.9.10,Yes,"A,F",M,Higher education,25-34 yr,1,6,2,4,5,3,none,10,10,10,5,5,5,none
HB008,onsite,2020.9.10,Yes,F,F,Higher education,45-54 yr,5,6,3,2,4,1,none,10,10,10,5,5,5,none
HB009,onsite,2020.9.10,Yes,"A,F",F,Higher education,25-34 yr,6,5,4,1,2,3,none,10,8,9,8,8,8,none
HB010,onsite,2020.9.10,Yes,D,M,Higher education,45-54 yr,3,4,5,2,6,1,none,10,10,10,10,10,10,none
HB011,onsite,2020.9.10,Yes,D,M,Higher education,25-34 yr,2,3,4,1,5,6,none,9,9,9,8,7,8,none
HB012,onsite,2020.9.10,Yes,D,M,Higher education,25-34 yr,2,5,4,1,6,3,none,10,5,10,5,5,10,none
HB101,onsite,2020.9.11,Yes,E,M,Elementary education,45-54 yr,3,6,1,4,2,5,none,10,10,10,9,7,5,none
HB102,onsite,2020.9.11,Yes,E,M,Elementary education,35-44 yr,4,6,1,2,3,5,none,10,10,10,10,10,10,none
HB103,onsite,2020.9.11,Yes,E,M,Elementary education,35-44 yr,4,6,1,3,2,5,none,10,10,10,10,10,10,none
HB104,onsite,2020.9.11,Yes,E,M,None,45-54 yr,4,3,1,6,5,2,none,10,9,8,6,8,5,none
HB105,onsite,2020.9.11,Yes,E,M,Secondary education,35-44 yr,4,6,1,2,3,5,none,10,10,10,10,10,7,none
HB106,onsite,2020.9.11,Yes,E,M,Secondary education,35-44 yr,5,4,2,1,6,3,none,8,10,10,10,8,5,none
HB107,onsite,2020.9.11,Yes,E,M,Elementary education,45-54 yr,6,2,1,4,3,5,none,10,10,10,7,7,6,none
HB108,onsite,2020.9.11,Yes,E,M,Elementary education,45-54 yr,5,6,1,3,2,4,none,6,10,10,10,6,6,none
HB109,onsite,2020.9.11,Yes,E,M,Elementary education,45-54 yr,3,5,6,1,4,2,none,10,10,10,10,10,10,none
HB110,onsite,2020.9.12,Yes,E,F,Secondary education,35-44 yr,5,6,3,2,4,1,none,10,10,10,8,10,8,none
HB111,onsite,2020.9.12,Yes,E,F,Elementary education,35-44 yr,5,6,2,3,1,4,none,10,10,10,10,10,8,none
HB112,onsite,2020.9.12,Yes,E,F,Elementary education,45-54 yr,4,3,1,5,6,2,none,7,10,10,7,9,7,none
HB113,onsite,2020.9.13,Yes,E,F,Secondary education,35-44 yr,6,2,1,3,4,5,none,10,10,10,10,10,10,none
HB114,onsite,2020.9.13,Yes,E,M,Elementary education,35-44 yr,2,6,1,4,5,3,none,5,10,9,8,6,6,none
HB201,onsite,2020.9.11,Yes,B,F,Higher education,25-34 yr,1,3,4,6,5,2,none,10,10,10,9,8,10,none
HB202,onsite,2020.9.11,Yes,B,F,Higher education,18-24 yr,1,5,4,6,3,2,none,8,7,6,6,5,5,none
HB203,onsite,2020.9.11,Yes,C,F,Higher education,18-24 yr,1,6,3,4,5,2,none,10,10,10,10,10,10,none
HB204,onsite,2020.9.12,Yes,"A,B",F,Higher education,25-34 yr,2,5,4,3,6,1,none,8,7,7,8,7,6,none
HB205,online,2020.9.12,Yes,C,M,Higher education,25-34 yr,2,6,4,3,5,1,none,10,5,5,7,10,10,none
HB206,onsite,2020.9.13,Yes,B,M,Higher education,25-34 yr,1,6,3,4,5,2,none,8,8,7,5,5,7,none
HB207,online,2020.9.13,Yes,B,F,Higher education,18-24 yr,3,6,4,1,5,2,none,10,8,8,10,10,9,none
HB208,online,2020.9.13,Yes,A,F,Higher education,18-24 yr,3,6,5,4,1,2,none,9,7,7,6,6,5,none
HB209,online,2020.9.14,Yes,A,M,Higher education,18-24 yr,1,6,4,3,5,2,none,10,8,8,8,8,8,none
HB210,online,2020.9.14,Yes,"A,B,C",F,Higher education,18-24 yr,1,6,5,3,4,2,none,10,10,10,10,10,5,none
HB211,online,2020.9.14,Yes,B,F,Higher education,25-34 yr,1,6,3,5,4,2,none,10,8,8,7,6,6,none
HB212,online,2020.9.15,Yes,B,M,Higher education,25-34 yr,1,5,3,2,6,4,none,10,8,8,8,8,8,none
HB213,online,2020.9.15,Yes,C,F,Higher education,25-34 yr,2,4,5,3,6,1,none,10,5,5,10,10,5,none
HB214,online,2020.9.15,Yes,"B,C",F,Higher education,25-34 yr,1,6,4,3,5,2,none,10,10,10,10,10,10,none
